#Can J. Chem., 1959, 37, Table 2
#relative pressure : Adsorption : Desorption 
0 0 0
0.025 1 1.18
0.05 1.49 1.71
0.075 1.86 2.10
0.1 2.13 2.45
0.15 2.65 3.02
0.2 3.09 3.52
0.25 3.48 3.94
0.30 3.87 4.37
0.35 4.22 4.84
0.40 4.61 5.37
0.45 5.02 5.92
0.50 5.47 6.47
0.55 5.97 7.03
0.60 6.52 7.66
0.65 7.13 8.31
0.70 7.81 9.02
0.75 8.58 9.84
0.80 9.53 10.88
0.85 10.72 12.21
0.90 12.55 14.0
0.95 15.25 16.7
0.975 17.0 19.2
0.99 19.1 21.3
1 25 25
